sentence,intent,language
मैं अपने फ़ोन का पोस्टपेड बिल चुकाने के लिए तैयार हूं।,mobile_recharge_postpaid,hi
अपने पोस्टपेड फ़ोन बिल को जमा करना चाहता हूं।,mobile_recharge_postpaid,hi
मेरे पास पोस्टपेड फ़ोन बिल का भुगतान करना है।,mobile_recharge_postpaid,hi
पोस्टपेड फ़ोन बिल भुगतान करना है।,mobile_recharge_postpaid,hi
मेरी पोस्टपेड फ़ोन बिल चुकानी है।,mobile_recharge_postpaid,hi
पोस्टपेड फ़ोन बिल का भुगतान करना है।,mobile_recharge_postpaid,hi
मेरे पास पोस्टपेड फ़ोन बिल का भुगतान करने की इच्छा है।,mobile_recharge_postpaid,hi
मैं अपने पोस्टपेड फ़ोन बिल को चुकाना चाहता हूं।,mobile_recharge_postpaid,hi
पोस्टपेड फ़ोन बिल भुगतान करने के लिए तैयार हूं।,mobile_recharge_postpaid,hi
मैं पोस्टपेड फ़ोन बिल को चुकाने के लिए तैयार हूं।,mobile_recharge_postpaid,hi
"पोस्टपेड फ़ोन बिल चुकाना है, तैयार हूं।",mobile_recharge_postpaid,hi
फ़ोन बिल चुकाना है यू पी आई से,mobile_recharge_postpaid,hi
यू पी आई से मोबाइल फ़ोन बिल भरना है।,mobile_recharge_postpaid,hi
यू पी आई से मोबाइल बिल जमा करवाना है।,mobile_recharge_postpaid,hi
बिल पेमेंट करना है पोस्टपेड मोबाइल का यू पी आई बैलेंस से,mobile_recharge_postpaid,hi
मोबाइल बिल पे कर दो यू पी आई बैलेंस से,mobile_recharge_postpaid,hi
यू पी आई बैलेंस से पोस्टपेड फ़ोन बिल भुगतान करना है।,mobile_recharge_postpaid,hi
यू पी आई बैलेन्स से फ़ोन बिल चुकाना है,mobile_recharge_postpaid,hi
मोबाइल बिल भुगतान करना है यू पी आई बैलेन्स से,mobile_recharge_postpaid,hi
फ़ोन बिल चुकाऊंगा यू पी आई बैलेन्स से,mobile_recharge_postpaid,hi
यू पी आई बैलेन्स से पोस्टपेड बिल चुकाऊंगा।,mobile_recharge_postpaid,hi
फ़ोन बिल चाहिए यू पी आई अकाउंट से,mobile_recharge_postpaid,hi
यू पी आई अकाउंट से पोस्टपेड फ़ोन बिल भरूंगा,mobile_recharge_postpaid,hi
मोबाइल बिल चुकाना है यू पी आई अकाउंट से,mobile_recharge_postpaid,hi
यू पी आई अकाउंट से पोस्टपेड बिल भुगतान करो,mobile_recharge_postpaid,hi
यू पी आई एकाउंट से  मेरे पास पोस्टपेड फ़ोन बिल का भुगतान करना है।,mobile_recharge_postpaid,hi
यू पी आई एकाउंट से पोस्टपेड फ़ोन बिल भुगतान करना है,mobile_recharge_postpaid,hi
मेरी पोस्टपेड फ़ोन बिल चुकानी है यू पी आई एकाउंट से,mobile_recharge_postpaid,hi
पोस्टपेड फ़ोन बिल का भुगतान करना है यू पी आई एकाउंट से,mobile_recharge_postpaid,hi
